Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Number of Characters in Each Answer,Total Experiment Time (Seconds),How Answers Ordered,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID
,,,,,1,219,,,,14.486,16.005,16.029,16.045,,,,,,,,,,,,,
,,,,,,,,,,27.413,31.246,25.509,27.365,,,,,,,,,,,,,
,,,,,,,,,,34.453,34.517,35.438,35.526,,,,,,,,,,,,,
,,,,,,,,,,34.573,35.342,36.103,36.421,,,,,,,,,,,,,
,,,,,,,,,,36.437,36.494,,,,,,,,,,,,,,,
,,,,,,,,,,41.606,43.988,,,,,,,,,,,,,,,
,2,2,45,2,2,439,,,,66.987,71.278,49.698,49.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,753,,,,71.846,75.62,60.805,66.987,,,,,,,,,,,,,
,,,,,,,,,,76.485,78.438,76.03,76.462,,,,,,,,,,,,,
,3,8,80,7,1,168,,,,107.134,107.151,145.103,147.135,118.99,122.431,144.879,144.968,123.712,125.335,84.824,107.126,130.183,130.191,NA,NA,
,,,,,6,482,,,,109.53,109.597,,,,,,,133.814,133.902,116.78,118.917,141.766,143.734,,,
,,,,,3,280,,,,109.877,113.334,,,,,,,134.262,141.151,,,144.142,144.593,,,
,,,,,8,176,,,,113.47,116.196,,,,,,,141.414,141.735,,,,,,,
,,,,,5,260,,,,,,,,,,,,,,,,,,,,
,,,,,7,492,,,,,,,,,,,,,,,,,,,,
,,,,,4,171,,,,,,,,,,,,,,,,,,,,
,,,,,2,139,,,,,,,,,,,,,,,,,,,,
,4,2,149,2,2,149,,,,188.936,191.229,191.806,192.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1490,,,,192.445,193.005,,,,,,,,,,,,,,,
,5,2,194,2,1,177,,,,207.334,215.286,215.422,221.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,211,,,,,,,,,,,,,,,,,,,,
,6,2,223,2,2,312,,,,227.517,231.87,231.934,232.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1004,,,,242.669,242.726,232.286,232.294,,,,,,,,,,,,,
,,,,,,,,,,244.502,244.886,242.774,244.477,,,,,,,,,,,,,
,7,8,246,3,2,302,,,,289.854,290.186,263.158,263.197,274.94,285.43,290.186,290.614,287.149,288.52,266.193,267.551,NA,NA,288.52,289.854,
,,,,,6,860,,,,,,263.742,266.193,285.725,287.148,,,,,269.789,274.94,,,,,
,,,,,3,734,,,,,,267.574,267.582,,,,,,,,,,,,,
,,,,,5,532,,,,,,268.438,269.789,,,,,,,,,,,,,
,,,,,7,195,,,,,,,,,,,,,,,,,,,,
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,
,,,,,1,739,,,,,,,,,,,,,,,,,,,,
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,
,8,2,291,2,1,835,,,,300.552,303.035,306.019,306.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,4415,,,,312.152,312.911,306.817,312.152,,,,,,,,,,,,,
,,,,,,,,,,,,313.518,314.734,,,,,,,,,,,,,
,,,,,,,,,,,,315.166,316.666,,,,,,,,,,,,,
,,,,,,,,,,,,319.71,323.206,,,,,,,,,,,,,
,9,2,328,2,2,1394,,,,350.527,368.207,332.512,335.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,708,,,,,,346.542,347.656,,,,,,,,,,,,,
,,,,,,,,,,,,347.918,349.962,,,,,,,,,,,,,
,10,8,369,2,8,110,,,,379.273,381.338,395.154,401.431,401.431,402.055,384.039,387.771,387.771,395.153,NA,NA,NA,NA,373.743,374.414,
,,,,,1,1713,,,,,,,,,,,,,,,,,,378.256,379.273,
,,,,,6,184,,,,,,,,,,,,,,,,,,,,
,,,,,4,516,,,,,,,,,,,,,,,,,,,,
,,,,,5,179,,,,,,,,,,,,,,,,,,,,
,,,,,7,238,,,,,,,,,,,,,,,,,,,,
,,,,,2,421,,,,,,,,,,,,,,,,,,,,
,,,,,3,469,,,,,,,,,,,,,,,,,,,,
26,1,8,0,4,1,219,466,random,,NA,NA,NA,NA,NA,NA,53.837,56.859,NA,NA,NA,NA,NA,NA,NA,NA,A1V6CP5I0TOSAR
,,,,,3,205,,,,,,,,,,,,,,,,,,,,
,,,,,6,298,,,,,,,,,,,,,,,,,,,,
,,,,,5,451,,,,,,,,,,,,,,,,,,,,
,,,,,4,1225,,,,,,,,,,,,,,,,,,,,
,,,,,2,203,,,,,,,,,,,,,,,,,,,,
,,,,,8,403,,,,,,,,,,,,,,,,,,,,
,,,,,7,229,,,,,,,,,,,,,,,,,,,,
,2,8,59,3,1,753,,,,NA,NA,NA,NA,166.414,169.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,439,,,,,,,,,,,,,,,,,,,,
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,
,,,,,5,919,,,,,,,,,,,,,,,,,,,,
,,,,,4,204,,,,,,,,,,,,,,,,,,,,
,,,,,3,1347,,,,,,,,,,,,,,,,,,,,
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,
,,,,,8,330,,,,,,,,,,,,,,,,,,,,
,3,2,171,1,2,139,,,,206.853,208.457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,168,,,,,,,,,,,,,,,,,,,,
,4,8,210,6,2,149,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.687,265.842,NA,NA,NA,NA,
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,
,,,,,8,131,,,,,,,,,,,,,,,,,,,,
,,,,,7,2010,,,,,,,,,,,,,,,,,,,,
,,,,,1,1490,,,,,,,,,,,,,,,,,,,,
,,,,,6,3146,,,,,,,,,,,,,,,,,,,,
,,,,,3,466,,,,,,,,,,,,,,,,,,,,
,,,,,4,262,,,,,,,,,,,,,,,,,,,,
,5,8,268,5,1,177,,,,NA,NA,NA,NA,NA,NA,NA,NA,307.828,318.818,NA,NA,NA,NA,NA,NA,
,,,,,6,325,,,,,,,,,,,,,,,,,,,,
,,,,,5,4414,,,,,,,,,,,,,,,,,,,,
,,,,,3,588,,,,,,,,,,,,,,,,,,,,
,,,,,7,426,,,,,,,,,,,,,,,,,,,,
,,,,,2,211,,,,,,,,,,,,,,,,,,,,
,,,,,4,300,,,,,,,,,,,,,,,,,,,,
,,,,,8,199,,,,,,,,,,,,,,,,,,,,
,6,2,321,1,1,1004,,,,340.856,341.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,312,,,,,,,,,,,,,,,,,,,,
,7,2,344,1,2,302,,,,374.843,376.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,739,,,,,,,,,,,,,,,,,,,,
,8,2,378,2,2,4415,,,,NA,NA,395.195,398.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,835,,,,,,,,,,,,,,,,,,,,
,9,2,400,1,1,708,,,,423.832,429.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,
,10,2,431,1,2,421,,,,460.789,463.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1713,,,,,,,,,,,,,,,,,,,,
27,1,8,0,7,1,219,447,random,,16.317,17.024,NA,NA,NA,NA,23.557,24.661,NA,NA,57.956,58.739,59.406,62.787,58.74,59.406,AAXYYH9MI3PJM
,,,,,4,1225,,,,26.841,30.872,,,,,50.033,50.579,,,,,65.293,66.485,,,
,,,,,2,203,,,,49.905,49.978,,,,,55.656,57.955,,,,,66.509,66.655,,,
,,,,,3,205,,,,50.58,54.472,,,,,,,,,,,,,,,
,,,,,6,298,,,,,,,,,,,,,,,,,,,,
,,,,,5,451,,,,,,,,,,,,,,,,,,,,
,,,,,8,403,,,,,,,,,,,,,,,,,,,,
,,,,,7,229,,,,,,,,,,,,,,,,,,,,
,2,2,54,1,2,439,,,,111.625,113.601,99.021,99.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,753,,,,,,,,,,,,,,,,,,,,
,3,2,101,1,2,139,,,,129.425,131.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,168,,,,131.079,131.14,,,,,,,,,,,,,,,
,4,2,119,1,2,149,,,,158.184,159.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1490,,,,159.797,161.517,,,,,,,,,,,,,,,
,5,2,149,1,1,177,,,,185.661,186.193,188.726,188.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,211,,,,,,,,,,,,,,,,,,,,
,6,8,179,1,8,301,,,,275.073,275.137,NA,NA,NA,NA,NA,NA,279.193,279.209,272.196,274.296,253.046,272.195,243.047,251.23,
,,,,,2,312,,,,275.313,276.812,,,,,,,,,274.937,275.002,,,,,
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,
,,,,,3,152,,,,,,,,,,,,,,,,,,,,
,,,,,6,985,,,,,,,,,,,,,,,,,,,,
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,
,,,,,4,510,,,,,,,,,,,,,,,,,,,,
,,,,,5,30,,,,,,,,,,,,,,,,,,,,
,7,2,269,1,1,739,,,,311.877,325.3,325.417,325.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,302,,,,325.801,327.325,,,,,,,,,,,,,,,
,8,8,315,7,2,4415,,,,368.025,368.585,349.709,358.725,NA,NA,358.725,362.292,362.292,362.831,367.458,368.025,364.041,366.386,362.831,364.041,
,,,,,4,1531,,,,,,,,,,,,,,,,366.397,367.024,367.024,367.458,
,,,,,7,108,,,,,,,,,,,,,,,,,,,,
,,,,,5,542,,,,,,,,,,,,,,,,,,,,
,,,,,8,1027,,,,,,,,,,,,,,,,,,,,
,,,,,6,333,,,,,,,,,,,,,,,,,,,,
,,,,,3,105,,,,,,,,,,,,,,,,,,,,
,,,,,1,835,,,,,,,,,,,,,,,,,,,,
,9,2,356,2,2,1394,,,,399.207,400.038,385.607,399.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,708,,,,409.456,409.977,408.697,409.139,,,,,,,,,,,,,
,,,,,,,,,,,,409.329,409.412,,,,,,,,,,,,,
,10,8,398,3,4,516,,,,445.185,448.321,NA,NA,440.005,444.721,428.722,440.004,454.421,455.47,450.437,451.27,448.321,450.437,451.271,452.943,
,,,,,3,469,,,,453.337,454.42,,,456.181,456.387,455.47,455.713,456.845,456.877,,,452.944,453.337,,,
,,,,,5,179,,,,456.877,457.613,,,456.608,456.829,,,,,,,457.613,457.82,,,
,,,,,1,1713,,,,,,,,,,,,,,,,,,,,
,,,,,7,238,,,,,,,,,,,,,,,,,,,,
,,,,,6,184,,,,,,,,,,,,,,,,,,,,
,,,,,2,421,,,,,,,,,,,,,,,,,,,,
,,,,,8,110,,,,,,,,,,,,,,,,,,,,
28,1,2,0,1,2,203,490,random,,35.877,42.254,35.364,35.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AVQGY7FCU80XP
,,,,,1,219,,,,,,,,,,,,,,,,,,,,
,2,8,45,4,4,204,,,,NA,NA,138.621,138.652,NA,NA,132.829,132.949,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,439,,,,,,,,,,133.359,138.476,,,,,,,,,
,,,,,5,919,,,,,,,,,,138.499,138.606,,,,,,,,,
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,
,,,,,8,330,,,,,,,,,,,,,,,,,,,,
,,,,,3,1347,,,,,,,,,,,,,,,,,,,,
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,
,,,,,1,753,,,,,,,,,,,,,,,,,,,,
,3,2,145,1,2,139,,,,171.564,178.531,147.119,147.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,168,,,,,,,,,,,,,,,,,,,,
,4,8,183,4,6,3146,,,,NA,NA,NA,NA,NA,NA,258.086,258.586,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,5,1528,,,,,,,,,,258.68,259.514,,,,,,,,,
,,,,,8,131,,,,,,,,,,259.563,259.906,,,,,,,,,
,,,,,7,2010,,,,,,,,,,,,,,,,,,,,
,,,,,3,466,,,,,,,,,,,,,,,,,,,,
,,,,,1,1490,,,,,,,,,,,,,,,,,,,,
,,,,,2,149,,,,,,,,,,,,,,,,,,,,
,,,,,4,262,,,,,,,,,,,,,,,,,,,,
,5,2,263,2,2,211,,,,295.869,295.963,265.591,265.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,177,,,,,,294.331,295.734,,,,,,,,,,,,,
,,,,,,,,,,,,295.749,295.791,,,,,,,,,,,,,
,6,8,299,7,8,301,,,,NA,NA,NA,NA,NA,NA,331.273,341.351,NA,NA,NA,NA,357.153,358.669,301.174,301.56,
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,
,,,,,3,152,,,,,,,,,,,,,,,,,,,,
,,,,,5,30,,,,,,,,,,,,,,,,,,,,
,,,,,4,510,,,,,,,,,,,,,,,,,,,,
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,
,,,,,2,312,,,,,,,,,,,,,,,,,,,,
,,,,,6,985,,,,,,,,,,,,,,,,,,,,
,7,2,364,2,1,739,,,,NA,NA,383.588,383.634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,302,,,,,,383.659,383.663,,,,,,,,,,,,,
,,,,,,,,,,,,384.482,385.007,,,,,,,,,,,,,
,,,,,,,,,,,,385.023,385.095,,,,,,,,,,,,,
,8,2,388,1,2,4415,,,,406.923,407.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,835,,,,407.798,409.439,,,,,,,,,,,,,,,
,,,,,,,,,,409.665,409.836,,,,,,,,,,,,,,,
,9,2,413,2,2,1394,,,,NA,NA,414.957,415.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,708,,,,,,433.508,435.049,,,,,,,,,,,,,
,10,2,440,1,1,1713,,,,441.772,442.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,421,,,,482.759,483.856,,,,,,,,,,,,,,,
29,1,2,0,2,2,203,529,random,,27.283,27.395,22.45,23.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A38ZGWB47QTEY6
,,,,,1,219,,,,34.094,34.146,24.099,24.26,,,,,,,,,,,,,
,,,,,,,,,,34.378,34.603,25.823,25.915,,,,,,,,,,,,,
,,,,,,,,,,,,26.482,26.791,,,,,,,,,,,,,
,,,,,,,,,,,,27.912,32.523,,,,,,,,,,,,,
,,,,,,,,,,,,32.984,34.076,,,,,,,,,,,,,
,2,2,39,2,2,439,,,,59.818,60.228,60.683,61.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,753,,,,71.602,72.787,61.506,64.907,,,,,,,,,,,,,
,,,,,,,,,,,,64.915,69.635,,,,,,,,,,,,,
,,,,,,,,,,,,69.859,70.492,,,,,,,,,,,,,
,,,,,,,,,,,,70.892,71.476,,,,,,,,,,,,,
,,,,,,,,,,,,71.482,71.586,,,,,,,,,,,,,
,3,8,76,7,7,492,,,,116.499,117.723,122.101,122.373,127.505,127.643,104.498,104.594,112.144,113.376,103.818,103.995,94.202,94.355,110.106,112.144,
,,,,,6,482,,,,119.771,122.082,,,,,,,122.373,122.906,104.254,104.45,102.091,102.115,126.739,127.122,
,,,,,4,171,,,,127.122,127.505,,,,,,,,,122.907,123.623,102.642,103.098,,,
,,,,,8,176,,,,,,,,,,,,,,126.255,126.739,103.211,103.731,,,
,,,,,5,260,,,,,,,,,,,,,,,,103.738,103.803,,,
,,,,,2,139,,,,,,,,,,,,,,,,104.059,104.211,,,
,,,,,1,168,,,,,,,,,,,,,,,,123.623,126.255,,,
,,,,,3,280,,,,,,,,,,,,,,,,,,,,
,4,2,131,2,1,1490,,,,164.115,164.179,171.763,172.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,149,,,,,,172.69,173.97,,,,,,,,,,,,,
,5,2,177,2,2,211,,,,186.403,194.388,179.523,180.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,177,,,,195.01,195.074,184.572,184.578,,,,,,,,,,,,,
,,,,,,,,,,197.154,197.234,185.924,185.975,,,,,,,,,,,,,
,,,,,,,,,,197.394,197.898,195.386,196.842,,,,,,,,,,,,,
,,,,,,,,,,219.194,219.258,219.346,219.666,,,,,,,,,,,,,
,,,,,,,,,,221.587,222.066,222.53,222.778,,,,,,,,,,,,,
,,,,,,,,,,223.978,224.019,223.058,223.099,,,,,,,,,,,,,
,,,,,,,,,,,,223.427,223.906,,,,,,,,,,,,,
,6,8,227,6,3,152,,,,NA,NA,NA,NA,232.139,232.354,262.045,266.434,NA,NA,278.188,278.626,253.218,253.906,282.554,283.474,
,,,,,2,312,,,,,,,,240.034,241.215,266.69,270.514,,,278.898,279.266,254.01,255.034,283.714,284.09,
,,,,,1,1004,,,,,,,,241.226,244.782,271.17,271.338,,,279.45,279.922,255.13,262.044,284.531,284.546,
,,,,,5,30,,,,,,,,,,,,,,282.195,282.25,,,284.57,285.234,
,,,,,7,1192,,,,,,,,,,,,,,292.218,294.01,,,285.522,286.81,
,,,,,4,510,,,,,,,,,,,,,,294.138,294.842,,,295.243,295.674,
,,,,,6,985,,,,,,,,,,,,,,294.85,295.224,,,,,
,,,,,8,301,,,,,,,,,,,,,,,,,,,,
,7,8,299,2,4,1012,,,,NA,NA,352.994,353.034,NA,NA,326.789,326.946,353.331,353.77,NA,NA,NA,NA,NA,NA,
,,,,,1,739,,,,,,354.266,354.306,,,331.002,331.746,,,,,,,,,
,,,,,2,302,,,,,,354.77,355.474,,,331.826,332.25,,,,,,,,,
,,,,,5,532,,,,,,,,,,332.466,333.41,,,,,,,,,
,,,,,3,734,,,,,,,,,,333.666,334.178,,,,,,,,,
,,,,,7,195,,,,,,,,,,334.882,336.554,,,,,,,,,
,,,,,6,860,,,,,,,,,,,,,,,,,,,,
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,
,8,8,369,1,1,835,,,,385.49,385.546,NA,NA,NA,NA,394.075,394.834,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,6,333,,,,386.802,387.026,,,,,,,,,,,,,,,
,,,,,4,1531,,,,390.604,391.873,,,,,,,,,,,,,,,
,,,,,8,1027,,,,392.114,393.292,,,,,,,,,,,,,,,
,,,,,7,108,,,,,,,,,,,,,,,,,,,,
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,
,,,,,5,542,,,,,,,,,,,,,,,,,,,,
,,,,,3,105,,,,,,,,,,,,,,,,,,,,
,9,2,410,1,1,708,,,,416.803,416.826,440.114,440.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,1394,,,,416.929,417.138,440.138,440.474,,,,,,,,,,,,,
,,,,,,,,,,418.147,418.17,440.521,440.57,,,,,,,,,,,,,
,,,,,,,,,,448.752,450.442,440.746,441.057,,,,,,,,,,,,,
,,,,,,,,,,450.754,451.098,447.513,448.751,,,,,,,,,,,,,
,,,,,,,,,,451.562,451.793,458.956,459.193,,,,,,,,,,,,,
,,,,,,,,,,457.121,457.314,,,,,,,,,,,,,,,
,,,,,,,,,,457.465,457.85,,,,,,,,,,,,,,,
,,,,,,,,,,457.994,458.942,,,,,,,,,,,,,,,
,10,8,462,2,6,184,,,,506.274,512.91,513.81,515.201,474.402,474.93,502.401,503.882,524.124,524.233,474.266,474.329,523.707,524.123,NA,NA,
,,,,,3,469,,,,518.977,520.442,515.563,515.833,475.079,475.353,504.041,504.937,,,487.538,490.402,,,,,
,,,,,4,516,,,,522.385,523.149,516.289,516.577,498.748,501.864,505.194,505.641,,,491.186,494.666,,,,,
,,,,,1,1713,,,,,,517.489,518.089,522.001,522.286,505.652,506.121,,,498.114,498.748,,,,,
,,,,,2,421,,,,,,518.274,518.825,,,520.442,520.937,,,521.933,521.979,,,,,
,,,,,8,110,,,,,,523.149,523.707,,,522.3,522.366,,,,,,,,,
,,,,,7,238,,,,,,,,,,,,,,,,,,,,
,,,,,5,179,,,,,,,,,,,,,,,,,,,,
30,1,8,0,2,4,1225,146,random,,23.672,25.007,26.421,27.012,NA,NA,1.789,2.686,16.29,20.121,26.058,26.298,21.539,22.388,12.761,15.224,A2YYQJ3JWA2KGD
,,,,,3,205,,,,,,27.122,27.654,,,7.155,7.193,22.416,23.04,28.073,28.114,23.212,23.491,,,
,,,,,8,403,,,,,,27.919,28.044,,,7.783,8.858,28.953,29.389,,,25.046,25.168,,,
,,,,,2,203,,,,,,,,,,8.932,12.761,,,,,,,,,
,,,,,6,298,,,,,,,,,,,,,,,,,,,,
,,,,,1,219,,,,,,,,,,,,,,,,,,,,
,,,,,7,229,,,,,,,,,,,,,,,,,,,,
,,,,,5,451,,,,,,,,,,,,,,,,,,,,
,2,2,34,1,2,439,,,,38.024,39.374,34.2,38.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,753,,,,39.723,39.776,,,,,,,,,,,,,,,
,,,,,,,,,,40.177,40.81,,,,,,,,,,,,,,,
,,,,,,,,,,40.82,41.172,,,,,,,,,,,,,,,
,3,8,45,6,5,260,,,,NA,NA,NA,NA,52.526,52.635,52.121,52.154,45.509,46.598,58.853,59.447,NA,NA,60.058,60.409,
,,,,,7,492,,,,,,,,52.915,55.817,,,,,59.596,59.892,,,,,
,,,,,4,171,,,,,,,,,,,,,,,,,,,,
,,,,,3,280,,,,,,,,,,,,,,,,,,,,
,,,,,6,482,,,,,,,,,,,,,,,,,,,,
,,,,,1,168,,,,,,,,,,,,,,,,,,,,
,,,,,2,139,,,,,,,,,,,,,,,,,,,,
,,,,,8,176,,,,,,,,,,,,,,,,,,,,
,4,2,65,1,1,1490,,,,66.91,68.044,68.994,69.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,149,,,,71.363,71.78,70.557,71.294,,,,,,,,,,,,,
,,,,,,,,,,72.192,74.075,74.241,74.454,,,,,,,,,,,,,
,5,8,78,5,8,199,,,,NA,NA,86.249,86.257,85.175,85.54,NA,NA,78.375,80.277,NA,NA,84.635,85.175,NA,NA,
,,,,,5,4414,,,,,,,,,,,,81.378,84.634,,,,,,,
,,,,,6,325,,,,,,,,,,,,,,,,,,,,
,,,,,4,300,,,,,,,,,,,,,,,,,,,,
,,,,,7,426,,,,,,,,,,,,,,,,,,,,
,,,,,1,177,,,,,,,,,,,,,,,,,,,,
,,,,,3,588,,,,,,,,,,,,,,,,,,,,
,,,,,2,211,,,,,,,,,,,,,,,,,,,,
,6,2,91,1,1,1004,,,,91.081,91.55,93.111,93.374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,312,,,,92.088,92.703,94.89,94.994,,,,,,,,,,,,,
,,,,,,,,,,93.469,93.575,,,,,,,,,,,,,,,
,,,,,,,,,,94.03,94.436,,,,,,,,,,,,,,,
,,,,,,,,,,94.449,94.89,,,,,,,,,,,,,,,
,7,2,99,1,1,739,,,,104.623,105.025,106.278,106.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,2,302,,,,105.046,105.567,,,,,,,,,,,,,,,
,,,,,,,,,,105.694,106.059,,,,,,,,,,,,,,,
,,,,,,,,,,106.107,106.252,,,,,,,,,,,,,,,
,8,8,110,2,2,4415,,,,115.457,115.74,112.232,115.457,116.643,116.746,115.74,116.09,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,7,108,,,,,,,,,,116.347,116.566,,,,,,,,,
,,,,,5,542,,,,,,,,,,,,,,,,,,,,
,,,,,8,1027,,,,,,,,,,,,,,,,,,,,
,,,,,6,333,,,,,,,,,,,,,,,,,,,,
,,,,,1,835,,,,,,,,,,,,,,,,,,,,
,,,,,4,1531,,,,,,,,,,,,,,,,,,,,
,,,,,3,105,,,,,,,,,,,,,,,,,,,,
,9,8,121,1,3,435,,,,124.672,125.791,125.791,126.124,120.789,121.753,121.753,122.212,126.725,127.256,126.124,126.413,128.791,129.75,127.256,128.791,
,,,,,4,826,,,,,,,,,,122.748,123.811,,,,,,,,,
,,,,,1,708,,,,,,,,,,,,,,,,,,,,
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,
,,,,,5,2005,,,,,,,,,,,,,,,,,,,,
,,,,,8,1578,,,,,,,,,,,,,,,,,,,,
,,,,,7,381,,,,,,,,,,,,,,,,,,,,
,10,2,134,1,2,421,,,,138.598,138.871,134.391,135.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,,,,1,1713,,,,139.061,140.88,,,,,,,,,,,,,,,
31,1,8,0,7,5,451,476,random,,NA,NA,28.196,28.379,10.839,11.283,19.897,28.195,-4.005,-3.467,33.929,38.962,47.458,47.706,33.411,33.929,A2B338ZP97RA5W
,,,,,3,205,,,,,,33.363,33.411,18.068,19.896,32.811,33.363,2.469,2.477,,,63.913,64.144,46.244,46.549,
,,,,,7,229,,,,,,,,64.753,65.032,46.549,47.457,9.476,10.791,,,65.201,66.272,,,
,,,,,4,1225,,,,,,,,,,,,13.364,18.052,,,,,,,
,,,,,2,203,,,,,,,,,,,,47.706,48.018,,,,,,,
,,,,,8,403,,,,,,,,,,,,48.778,51.177,,,,,,,
,,,,,6,298,,,,,,,,,,,,51.569,51.649,,,,,,,
,,,,,1,219,,,,,,,,,,,,61.6,63.872,,,,,,,
,2,8,80,4,4,204,,,,NA,NA,NA,NA,NA,NA,92.167,92.329,NA,NA,92.535,92.655,121.476,121.524,NA,NA,
,,,,,6,1265,,,,,,,,,,98.99,101.99,,,105.274,112.685,,,,,
,,,,,5,919,,,,,,,,,,115.733,118.109,,,115.589,115.661,,,,,
,,,,,2,439,,,,,,,,,,118.117,118.165,,,118.205,118.413,,,,,
,,,,,8,330,,,,,,,,,,,,,,,,,,,,
,,,,,3,1347,,,,,,,,,,,,,,,,,,,,
,,,,,1,753,,,,,,,,,,,,,,,,,,,,
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,
