Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Total Experiment Time (Seconds),How Answers/Scores Ordered,Number of Characters in Each Answer,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID,Score
,,,,,7,,,492,,304.933,305.154,,,304.417,304.463,304.88,304.933,304.371,304.417,304.604,304.831,271.984,275.223,,,,4
,,,,,5,,,260,,,,,,,,,,,,,,293.471,293.974,,,,19
,,,,,3,,,280,,,,,,,,,,,,,,298.3,299.937,,,,17
,,,,,6,,,482,,,,,,,,,,,,,,300.121,304.371,,,,6
,,,,,4,,,171,,,,,,,,,,,,,,,,,,,21
,,,,,1,,,168,,,,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2,306,2,2,,Random Score,149,,572.178,572.679,570.462,572.041,,,,,,,,,,,,,,26
,,,,,1,,,1490,,577.194,583.136,575.629,576.497,,,,,,,,,,,,,,35
,,,,,,,,,,590.787,591.013,,,,,,,,,,,,,,,,
,5,2,592,1,2,,Random Score,211,,599.04,599.064,599.382,599.614,,,,,,,,,,,,,,12
,,,,,1,,,177,,609.414,616.598,603.547,609.331,,,,,,,,,,,,,,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,2,618,1,2,,Random Score,312,,619.384,631.848,,,,,,,,,,,,,,,,6
,,,,,1,,,1004,,632.501,632.981,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2,633,1,2,,Random Score,302,,653.831,654.212,650.022,652.988,,,,,,,,,,,,,,51
,,,,,1,,,739,,654.618,657.417,,,,,,,,,,,,,,,,22
,,,,,,,,,,658.05,661.333,,,,,,,,,,,,,,,,
,8,8,662,4,7,,Random Score,108,,784.293,785.587,778.651,784.293,,,767.269,770.128,759.325,759.909,761.7,767.269,754.954,755.121,756.891,757.74,,15
,,,,,8,,,1027,,,,,,,,770.355,771.071,,,,,755.586,756.596,,,,15
,,,,,3,,,105,,,,,,,,771.471,771.488,,,,,756.661,756.706,,,,9
,,,,,5,,,542,,,,,,,,771.571,778.651,,,,,,,,,,21
,,,,,6,,,333,,,,,,,,,,,,,,,,,,,16
,,,,,4,,,1531,,,,,,,,,,,,,,,,,,,2
,,,,,2,,,4415,,,,,,,,,,,,,,,,,,,0
,,,,,1,,,835,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,8,787,7,8,,Random Score,1578,,857.755,859.204,809.637,811.165,819.267,822.992,872.944,875.864,823.901,825.357,860.761,863.2,863.201,870.106,797.559,809.337,,22
,,,,,2,,,1394,,,,,,,,877.453,877.569,839.757,855.944,,,871.139,872.944,,,,2
,,,,,3,,,435,,,,,,,,,,,,,,,,,,,8
,,,,,5,,,2005,,,,,,,,,,,,,,,,,,,0
,,,,,1,,,708,,,,,,,,,,,,,,,,,,,10
,,,,,6,,,1283,,,,,,,,,,,,,,,,,,,1
,,,,,7,,,381,,,,,,,,,,,,,,,,,,,22
,,,,,4,,,826,,,,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,8,878,5,4,,Random Score,516,,899.577,903.89,,,912.692,921.259,892.559,897.159,897.159,899.177,905.304,906.509,910.219,910.488,921.955,922.001,,21
,,,,,5,,,179,,,,,,921.474,921.808,,,,,,,,,,,,16
,,,,,1,,,1713,,,,,,,,,,,,,,,,,,,11
,,,,,6,,,184,,,,,,,,,,,,,,,,,,,24
,,,,,7,,,238,,,,,,,,,,,,,,,,,,,6
,,,,,2,,,421,,,,,,,,,,,,,,,,,,,25
,,,,,3,,,469,,,,,,,,,,,,,,,,,,,15
,,,,,8,,,110,,,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,8,0,3,7,593,Random Score,229,,54.352,55.353,76.968,77.051,28.328,40.539,51.281,54.351,48.981,49.034,49.058,51.281,2.263,2.9,55.354,60.097,A3GSIZ2GX4L1Z3,23
,,,,,3,,,205,,,,,,43.09,46.851,60.097,60.598,74.222,74.258,60.598,61.306,21.056,28.327,75.747,76.705,,4
,,,,,5,,,451,,,,,,47.267,48.916,74.749,75.747,,,74.258,74.292,40.539,42.389,,,,2
,,,,,6,,,298,,,,,,61.306,62.867,,,,,74.394,74.749,62.867,69.19,,,,18
,,,,,4,,,1225,,,,,,71.192,71.226,,,,,,,71.813,72.707,,,,5
,,,,,1,,,219,,,,,,72.757,74.202,,,,,,,,,,,,5
,,,,,8,,,403,,,,,,,,,,,,,,,,,,,12
,,,,,2,,,203,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,8,79,4,7,,Random Score,1203,,167.668,181.421,,,164.043,167.668,148.001,149.096,133.387,141.117,123.793,125.154,103.813,116.41,,,,7
,,,,,6,,,1265,,,,,,,,159.272,161.922,,,,,,,,,,6
,,,,,5,,,919,,,,,,,,162.137,164.043,,,,,,,,,,24
,,,,,2,,,439,,,,,,,,,,,,,,,,,,,8
,,,,,4,,,204,,,,,,,,,,,,,,,,,,,17
,,,,,3,,,1347,,,,,,,,,,,,,,,,,,,23
,,,,,8,,,330,,,,,,,,,,,,,,,,,,,22
,,,,,1,,,753,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,8,183,8,1,,Random Score,168,,,,,,,,,,240.617,241.366,228.964,230.639,,,241.367,247.561,,13
,,,,,6,,,482,,,,,,,,,,,,,,,,,,,20
,,,,,4,,,171,,,,,,,,,,,,,,,,,,,0
,,,,,5,,,260,,,,,,,,,,,,,,,,,,,20
,,,,,8,,,176,,,,,,,,,,,,,,,,,,,12
,,,,,3,,,280,,,,,,,,,,,,,,,,,,,1
,,,,,7,,,492,,,,,,,,,,,,,,,,,,,9
,,,,,2,,,139,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2,252,2,1,,Random Score,1490,,298.957,301.296,303.167,311.706,,,,,,,,,,,,,,67
,,,,,2,,,149,,311.706,320.208,320.62,322.093,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,2,324,1,1,,Random Score,177,,333.031,333.097,363.785,363.852,,,,,,,,,,,,,,87
,,,,,2,,,211,,362.327,362.578,,,,,,,,,,,,,,,,3
,,,,,,,,,,362.611,363.686,,,,,,,,,,,,,,,,
,6,8,366,5,3,,Random Score,152,,408.009,410.776,418.039,421.972,368.09,368.145,421.973,425.052,433.043,433.427,404.596,408.008,410.777,418.038,393.673,399.338,,13
,,,,,5,,,30,,426.386,427.672,443.599,443.967,384.974,387.933,443.967,444.618,441.23,441.575,427.672,430.266,425.052,426.386,430.266,432.307,,22
,,,,,8,,,301,,443.012,443.172,,,,,,,441.928,442.245,442.767,442.783,443.172,443.599,434.28,440.612,,18
,,,,,6,,,985,,,,,,,,,,,,,,,,442.642,442.767,,11
,,,,,1,,,1004,,,,,,,,,,,,,,,,,,,12
,,,,,7,,,1192,,,,,,,,,,,,,,,,,,,1
,,,,,2,,,312,,,,,,,,,,,,,,,,,,,0
,,,,,4,,,510,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2,447,1,2,,Random Score,302,,466.571,473.133,474.484,475.369,,,,,,,,,,,,,,44
,,,,,1,,,739,,475.535,475.937,,,,,,,,,,,,,,,,20
,,,,,,,,,,477.22,478.565,,,,,,,,,,,,,,,,
,8,2,481,2,2,,Random Score,4415,,539.736,549.007,533.205,534.27,,,,,,,,,,,,,,2
,,,,,1,,,835,,,,534.553,539.736,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,2,551,2,2,,Random Score,1394,,566.817,567.509,566.129,566.817,,,,,,,,,,,,,,67
,,,,,1,,,708,,570.826,571.121,568.436,569.453,,,,,,,,,,,,,,35
,,,,,,,,,,,,569.902,570.757,,,,,,,,,,,,,,
,10,2,573,2,1,,Random Score,1713,,581.96,587.115,587.116,588.013,,,,,,,,,,,,,,17
,,,,,2,,,421,,,,588.347,588.835,,,,,,,,,,,,,,87
,,,,,,,,,,,,588.916,588.965,,,,,,,,,,,,,,
,,,,,,,,,,,,588.981,589.766,,,,,,,,,,,,,,
19,1,2,0,2,1,154,Random Score,219,,7.166,8.548,3.746,4.899,,,,,,,,,,,,,A1BTZRP5VVYGCC,28
,,,,,2,,,203,,,,5.85,5.972,,,,,,,,,,,,,,28
,,,,,,,,,,,,8.548,8.727,,,,,,,,,,,,,,
,,,,,,,,,,,,8.939,9.045,,,,,,,,,,,,,,
,,,,,,,,,,,,9.828,12.064,,,,,,,,,,,,,,
,,,,,,,,,,,,13.319,14.304,,,,,,,,,,,,,,
,2,8,15,6,8,,Random Score,330,,23.008,24.492,,,24.709,25.337,,,26.131,26.8,21.4,22.867,25.445,26.131,19.292,19.797,,16
,,,,,6,,,1265,,,,,,25.345,25.445,,,,,,,,,,,,24
,,,,,1,,,753,,,,,,,,,,,,,,,,,,,0
,,,,,3,,,1347,,,,,,,,,,,,,,,,,,,23
,,,,,7,,,1203,,,,,,,,,,,,,,,,,,,14
,,,,,4,,,204,,,,,,,,,,,,,,,,,,,11
,,,,,5,,,919,,,,,,,,,,,,,,,,,,,1
,,,,,2,,,439,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,8,28,8,2,,Random Score,139,,35.085,35.989,31.475,31.592,,,,,34.615,34.85,34.85,35.085,31.723,31.944,32.459,32.69,,23
,,,,,7,,,492,,,,,,,,,,,,,,,,32.924,33.055,,14
,,,,,3,,,280,,,,,,,,,,,,,,,,33.332,34.615,,18
,,,,,4,,,171,,,,,,,,,,,,,,,,,,,24
,,,,,8,,,176,,,,,,,,,,,,,,,,,,,3
,,,,,5,,,260,,,,,,,,,,,,,,,,,,,3
,,,,,6,,,482,,,,,,,,,,,,,,,,,,,23
,,,,,1,,,168,,,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2,36,1,2,,Random Score,149,,40.724,45.152,,,,,,,,,,,,,,,,26
,,,,,1,,,1490,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,2,46,1,1,,Random Score,177,,50.471,50.579,50.251,50.375,,,,,,,,,,,,,,51
,,,,,2,,,211,,50.996,51.393,51.496,51.715,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,2,52,1,2,,Random Score,312,,55.772,57.873,55.067,55.443,,,,,,,,,,,,,,0
,,,,,1,,,1004,,58.983,65.661,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,8,66,8,8,,Random Score,2848,,76.664,77.227,78.006,80.086,75.588,76.083,76.083,76.664,77.458,77.715,74.866,75.349,77.715,78.006,71.146,72.019,,15
,,,,,6,,,860,,,,,,,,,,,,,,,,72.463,74.866,,11
,,,,,3,,,734,,,,,,,,,,,,,,,,,,,23
,,,,,4,,,1012,,,,,,,,,,,,,,,,,,,17
,,,,,1,,,739,,,,,,,,,,,,,,,,,,,17
,,,,,5,,,532,,,,,,,,,,,,,,,,,,,24
,,,,,7,,,195,,,,,,,,,,,,,,,,,,,12
,,,,,2,,,302,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2,81,1,2,,Random Score,4415,,88.779,92.419,86.096,88.778,,,,,,,,,,,,,,98
,,,,,1,,,835,,92.935,94.953,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,8,95,4,4,,Random Score,826,,104.49,105.087,107.637,112.33,104.238,104.488,100.064,101.211,103.2,104.237,106.625,107.637,105.087,105.208,105.414,106.624,,4
,,,,,5,,,2005,,,,,,,,101.727,103.2,,,,,,,,,,21
,,,,,3,,,435,,,,,,,,,,,,,,,,,,,7
,,,,,1,,,708,,,,,,,,,,,,,,,,,,,17
,,,,,7,,,381,,,,,,,,,,,,,,,,,,,16
,,,,,8,,,1578,,,,,,,,,,,,,,,,,,,4
,,,,,6,,,1283,,,,,,,,,,,,,,,,,,,15
,,,,,2,,,1394,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,8,120,6,5,,Random Score,179,,145.756,147.067,147.067,147.338,145.52,145.756,147.458,152.161,124.379,124.733,124.833,125.311,,,145.291,145.52,,0
,,,,,6,,,184,,,,,,,,,,142.41,143.136,143.136,143.362,,,,,,8
,,,,,8,,,110,,,,,,,,,,,,144.255,145.291,,,,,,13
,,,,,3,,,469,,,,,,,,,,,,,,,,,,,23
,,,,,1,,,1713,,,,,,,,,,,,,,,,,,,6
,,,,,7,,,238,,,,,,,,,,,,,,,,,,,5
,,,,,2,,,421,,,,,,,,,,,,,,,,,,,15
,,,,,4,,,516,,,,,,,,,,,,,,,,,,,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,2,0,2,1,110,Random Score,219,,4.066,5.366,6.858,7.666,,,,,,,,,,,,,A1ZD8RU6YB0VEU,55
,,,,,2,,,203,,5.566,6.399,7.817,8.233,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,9,1,1,,Random Score,753,,21.899,23.049,24.666,25.016,,,,,,,,,,,,,,26
,,,,,2,,,439,,23.548,24.182,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,26,1,1,,Random Score,168,,34.183,34.466,34.056,34.083,,,,,,,,,,,,,,23
,,,,,2,,,139,,34.632,35.233,35.316,35.349,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,8,36,1,8,,Random Score,131,,46.95,48.399,,,53.133,53.599,,,51.46,51.749,50.068,51.35,52.134,53.133,46.599,46.95,,12
,,,,,1,,,1490,,49.116,49.399,,,,,,,,,,,,,,,,12
,,,,,6,,,3146,,49.416,50.067,,,,,,,,,,,,,,,,10
,,,,,5,,,1528,,,,,,,,,,,,,,,,,,,0
,,,,,4,,,262,,,,,,,,,,,,,,,,,,,12
,,,,,7,,,2010,,,,,,,,,,,,,,,,,,,16
,,,,,2,,,149,,,,,,,,,,,,,,,,,,,14
,,,,,3,,,466,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,2,54,1,1,,Random Score,177,,56.616,57.049,56.286,56.55,,,,,,,,,,,,,,58
,,,,,2,,,211,,59.899,59.949,61.766,61.832,,,,,,,,,,,,,,88
,,,,,,,,,,60.216,60.732,,,,,,,,,,,,,,,,
,,,,,,,,,,60.983,61.716,,,,,,,,,,,,,,,,
,6,8,63,1,5,,Random Score,30,,67.668,69.216,69.399,69.699,69.216,69.35,70.95,71.433,,,69.867,70.117,70.214,70.766,,,,0
,,,,,1,,,1004,,,,,,,,,,,,,,,,,,,10
,,,,,3,,,152,,,,,,,,,,,,,,,,,,,4
,,,,,2,,,312,,,,,,,,,,,,,,,,,,,6
,,,,,8,,,301,,,,,,,,,,,,,,,,,,,23
,,,,,6,,,985,,,,,,,,,,,,,,,,,,,15
,,,,,7,,,1192,,,,,,,,,,,,,,,,,,,15
,,,,,4,,,510,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2,72,1,1,,Random Score,739,,77.681,79.9,79.9,80.166,,,,,,,,,,,,,,50
,,,,,2,,,302,,,,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,8,81,2,4,,Random Score,1531,,88.449,88.717,85.249,86.532,,,83.936,84.717,84.983,85.249,,,,,88.717,89.349,,19
,,,,,7,,,108,,,,86.683,88.449,,,,,,,,,,,,,,15
,,,,,3,,,105,,,,,,,,,,,,,,,,,,,6
,,,,,6,,,333,,,,,,,,,,,,,,,,,,,6
,,,,,5,,,542,,,,,,,,,,,,,,,,,,,12
,,,,,2,,,4415,,,,,,,,,,,,,,,,,,,4
,,,,,1,,,835,,,,,,,,,,,,,,,,,,,5
,,,,,8,,,1027,,,,,,,,,,,,,,,,,,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,2,90,1,1,,Random Score,708,,91.644,96.776,96.776,97.116,,,,,,,,,,,,,,3
,,,,,2,,,1394,,,,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,8,98,4,5,,Random Score,179,,107.117,108.316,103.049,103.266,103.283,103.567,103.567,105.75,100.149,101.316,101.833,101.949,101.666,101.733,,,,8
,,,,,6,,,184,,,,,,105.783,106.634,106.649,107.116,101.333,101.66,102.184,102.733,102.766,103.017,,,,25
,,,,,7,,,238,,,,,,,,,,,,,,,,,,,21
,,,,,2,,,421,,,,,,,,,,,,,,,,,,,2
,,,,,3,,,469,,,,,,,,,,,,,,,,,,,12
,,,,,4,,,516,,,,,,,,,,,,,,,,,,,3
,,,,,8,,,110,,,,,,,,,,,,,,,,,,,12
,,,,,1,,,1713,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,8,0,3,5,501,Random Score,451,,58.348,59.995,36.318,37.116,26.702,27.589,,,3.451,3.514,,,,,74.726,75.525,ABCNBEDISMEXV,5
,,,,,3,,,205,,,,,,28.126,28.736,,,16.116,16.132,,,,,78.367,78.417,,20
,,,,,7,,,229,,,,,,42.021,43.85,,,16.631,17.197,,,,,78.7,79.597,,18
,,,,,2,,,203,,,,,,85.035,85.895,,,,,,,,,82.075,82.742,,22
,,,,,4,,,1225,,,,,,,,,,,,,,,,86.083,86.448,,11
,,,,,6,,,298,,,,,,,,,,,,,,,,,,,6
,,,,,1,,,219,,,,,,,,,,,,,,,,,,,5
,,,,,8,,,403,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,87,2,2,,Random Score,439,,130.311,130.327,128.349,128.433,,,,,,,,,,,,,,37
,,,,,1,,,753,,,,128.581,128.895,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2,131,2,1,,Random Score,168,,,,148.318,148.849,,,,,,,,,,,,,,42
,,,,,2,,,139,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,8,149,2,6,,Random Score,3146,,,,194.209,199.662,175.237,176.985,,,,,,,,,,,,14
,,,,,1,,,1490,,,,202.871,202.887,,,,,,,,,,,,,,11
,,,,,4,,,262,,,,204.051,205.262,,,,,,,,,,,,,,8
,,,,,2,,,149,,,,,,,,,,,,,,,,,,,2
,,,,,3,,,466,,,,,,,,,,,,,,,,,,,0
,,,,,5,,,1528,,,,,,,,,,,,,,,,,,,18
,,,,,8,,,131,,,,,,,,,,,,,,,,,,,2
,,,,,7,,,2010,,,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,2,206,1,1,,Random Score,177,,210.066,210.769,219.531,226.648,,,,,,,,,,,,,,29
,,,,,2,,,211,,212.061,219.531,228.16,228.21,,,,,,,,,,,,,,17
,,,,,,,,,,227.661,228.093,231.52,231.57,,,,,,,,,,,,,,
,,,,,,,,,,230.954,231.488,,,,,,,,,,,,,,,,
,6,8,232,4,1,,Random Score,1004,,234.306,234.413,238.086,240.96,,,247.651,253.513,,,246.641,247.651,240.96,245.644,,,,2
,,,,,8,,,301,,236.751,238.086,255.372,261.042,,,275.086,277.959,,,270.492,273.176,253.513,255.372,,,,7
,,,,,2,,,312,,261.042,267.459,,,,,279.705,280.042,,,,,267.459,268.159,,,,22
,,,,,7,,,1192,,,,,,,,281.135,281.202,,,,,,,,,,18
,,,,,6,,,985,,,,,,,,,,,,,,,,,,,22
,,,,,3,,,152,,,,,,,,,,,,,,,,,,,25
,,,,,5,,,30,,,,,,,,,,,,,,,,,,,1
,,,,,4,,,510,,,,,,,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,8,284,5,2,,Random Score,302,,,,,,304.862,305.145,,,300.606,300.672,,,,,,,,7
,,,,,8,,,2848,,,,,,,,,,300.854,302.236,,,,,,,,18
,,,,,5,,,532,,,,,,,,,,,,,,,,,,,20
,,,,,7,,,195,,,,,,,,,,,,,,,,,,,11
,,,,,1,,,739,,,,,,,,,,,,,,,,,,,2
,,,,,6,,,860,,,,,,,,,,,,,,,,,,,9
,,,,,4,,,1012,,,,,,,,,,,,,,,,,,,10
,,,,,3,,,734,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,8,306,1,3,,Random Score,105,,348.309,348.792,337.086,337.119,,,,,,,,,350.139,350.188,,,,10
,,,,,8,,,1027,,,,337.152,337.319,,,,,,,,,,,,,,18
,,,,,4,,,1531,,,,337.369,337.983,,,,,,,,,,,,,,5
,,,,,2,,,4415,,,,,,,,,,,,,,,,,,,16
,,,,,5,,,542,,,,,,,,,,,,,,,,,,,5
,,,,,1,,,835,,,,,,,,,,,,,,,,,,,18
,,,,,6,,,333,,,,,,,,,,,,,,,,,,,13
,,,,,7,,,108,,,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,8,352,3,2,,Random Score,1394,,449.182,450.047,440.222,443.111,426.339,440.222,450.929,451.617,,,448.657,449.182,405.706,411.765,445.568,446.14,,23
,,,,,3,,,435,,,,,,451.617,452.114,,,,,,,,,458.514,458.53,,11
,,,,,4,,,826,,,,,,452.379,454.407,,,,,,,,,,,,10
,,,,,1,,,708,,,,,,,,,,,,,,,,,,,5
,,,,,6,,,1283,,,,,,,,,,,,,,,,,,,25
,,,,,5,,,2005,,,,,,,,,,,,,,,,,,,5
,,,,,7,,,381,,,,,,,,,,,,,,,,,,,25
,,,,,8,,,1578,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2,460,2,2,,Random Score,421,,498.219,499.435,496.856,496.923,,,,,,,,,,,,,,10
,,,,,1,,,1713,,,,497.172,498.152,,,,,,,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,2,0,2,2,498,Random Score,203,,21.13,22.098,13.539,13.639,,,,,,,,,,,,,A2INXY39KBM92F,65
,,,,,1,,,219,,28.988,29.788,13.873,13.889,,,,,,,,,,,,,,82
,,,,,,,,,,32.742,55.648,15.175,15.624,,,,,,,,,,,,,,
,,,,,,,,,,55.848,56.599,56.649,56.966,,,,,,,,,,,,,,
,,,,,,,,,,58.15,58.184,57.75,58,,,,,,,,,,,,,,
,,,,,,,,,,,,58.084,58.117,,,,,,,,,,,,,,
,2,2,59,2,1,,Random Score,753,,,,115.291,116.108,,,,,,,,,,,,,,91
,,,,,2,,,439,,,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,8,119,4,6,,Random Score,482,,,,198.373,198.99,,,190.916,192.517,,,,,,,,,,19
,,,,,1,,,168,,,,,,,,196.839,197.272,,,,,,,,,,9
,,,,,5,,,260,,,,,,,,,,,,,,,,,,,16
,,,,,3,,,280,,,,,,,,,,,,,,,,,,,9
,,,,,4,,,171,,,,,,,,,,,,,,,,,,,10
,,,,,7,,,492,,,,,,,,,,,,,,,,,,,25
,,,,,8,,,176,,,,,,,,,,,,,,,,,,,18
,,,,,2,,,139,,,,,,,,,,,,,,,,,,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2,199,1,2,,Random Score,149,,255.88,256.314,238.63,239.898,,,,,,,,,,,,,,59
,,,,,1,,,1490,,256.848,256.865,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,2,257,1,2,,Random Score,211,,313.471,316.757,316.807,316.941,,,,,,,,,,,,,,49
,,,,,1,,,177,,317.692,317.758,317.273,317.659,,,,,,,,,,,,,,39
,,,,,,,,,,318.042,319.193,,,,,,,,,,,,,,,,
,6,2,319,1,2,,Random Score,312,,356.847,356.931,,,,,,,,,,,,,,,,97
,,,,,1,,,1004,,357.147,357.748,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,8,357,4,4,,Random Score,1012,,,,,,,,450.007,450.658,,,445.737,445.937,,,,,,10
,,,,,8,,,2848,,,,,,,,452.493,452.71,,,,,,,,,,0
,,,,,2,,,302,,,,,,,,,,,,,,,,,,,6
,,,,,3,,,734,,,,,,,,,,,,,,,,,,,24
,,,,,7,,,195,,,,,,,,,,,,,,,,,,,13
,,,,,1,,,739,,,,,,,,,,,,,,,,,,,2
,,,,,5,,,532,,,,,,,,,,,,,,,,,,,2
,,,,,6,,,860,,,,,,,,,,,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2,456,2,1,,Random Score,835,,,,473.197,473.798,,,,,,,,,,,,,,80
,,,,,2,,,4415,,,,473.855,474.682,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,2,475,2,1,,Random Score,708,,,,482.21,482.607,,,,,,,,,,,,,,16
,,,,,2,,,1394,,,,,,,,,,,,,,,,,,,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,8,483,1,4,,Random Score,516,,496.287,496.554,,,,,,,,,,,,,,,,11
,,,,,2,,,421,,,,,,,,,,,,,,,,,,,9
,,,,,7,,,238,,,,,,,,,,,,,,,,,,,24
,,,,,6,,,184,,,,,,,,,,,,,,,,,,,4
,,,,,5,,,179,,,,,,,,,,,,,,,,,,,5
,,,,,3,,,469,,,,,,,,,,,,,,,,,,,12
,,,,,8,,,110,,,,,,,,,,,,,,,,,,,16
,,,,,1,,,1713,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,8,0,3,2,446,Random Score,203,,53.184,53.962,7.395,16.61,47.862,48.401,,,6.451,7.395,52.909,53.01,32.786,39.287,53.035,53.135,A3SDBPUAJB2SOV,10
,,,,,5,,,451,,,,21.733,28.06,50.172,50.212,,,29.313,31.509,,,43.329,43.71,,,,7
,,,,,7,,,229,,,,39.287,41.447,50.652,51.336,,,42.892,43.044,,,,,,,,12
,,,,,4,,,1225,,,,,,52.335,52.76,,,,,,,,,,,,4
,,,,,3,,,205,,,,,,,,,,,,,,,,,,,14
,,,,,6,,,298,,,,,,,,,,,,,,,,,,,13
,,,,,8,,,403,,,,,,,,,,,,,,,,,,,15
,,,,,1,,,219,,,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,8,53,4,2,,Random Score,439,,,,69.765,69.792,77.486,77.587,73.667,74.888,,,70.688,71.753,71.754,72.88,,,,12
,,,,,6,,,1265,,,,,,,,,,,,,,,,,,,18
