Experiment #,Question #,Number of Answers,Start Date/Seconds After Start Date,Answer Chosen,Answer Order,Number of Characters in Each Answer,Total Experiment Time (Seconds),How Answers Ordered,IP Address [Removed],Time Mouse Scrolled Over Answer 1 (Seconds After Start Time),Time Mouse Moved Away From Answer 1 (Seconds After Start Time),Time Mouse Scrolled Over Answer 2 (Seconds After Start Time),Time Mouse Moved Away From Answer 2 (Seconds After Start Time),Time Mouse Scrolled Over Answer 3 (Seconds After Start Time),Time Mouse Moved Away From Answer 3 (Seconds After Start Time),Time Mouse Scrolled Over Answer 4 (Seconds After Start Time),Time Mouse Moved Away From Answer 4 (Seconds After Start Time),Time Mouse Scrolled Over Answer 5 (Seconds After Start Time),Time Mouse Moved Away From Answer 5 (Seconds After Start Time),Time Mouse Scrolled Over Answer 6 (Seconds After Start Time),Time Mouse Moved Away From Answer 6 (Seconds After Start Time),Time Mouse Scrolled Over Answer 7 (Seconds After Start Time),Time Mouse Moved Away From Answer 7 (Seconds After Start Time),Time Mouse Scrolled Over Answer 8 (Seconds After Start Time),Time Mouse Moved Away From Answer 8 (Seconds After Start Time),Amazon Worker ID,Score
,,,,,6,325,,,,,,,,,,117.798,117.946,,,,,,,,,,12
,,,,,3,588,,,,,,,,,,118.018,118.247,,,,,,,,,,10
,,,,,4,300,,,,,,,,,,118.262,118.62,,,,,,,,,,6
,,,,,2,211,,,,,,,,,,124.955,130.348,,,,,,,,,,2
,,,,,7,426,,,,,,,,,,,,,,,,,,,,,0
,6,2,134,2,1,1004,,,,NA,NA,153.553,154.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,22
,,,,,2,312,,,,,,,,,,,,,,,,,,,,,14
,7,2,157,2,1,739,,,,NA,NA,176.412,177.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,26
,,,,,2,302,,,,,,,,,,,,,,,,,,,,,11
,8,8,179,1,7,108,,,,208.923,209.226,212.679,221.973,NA,NA,NA,NA,209.724,210.202,NA,NA,NA,NA,210.202,211.885,,25
,,,,,4,1531,,,,209.302,209.724,,,,,,,,,,,,,,,,19
,,,,,1,835,,,,,,,,,,,,,,,,,,,,,16
,,,,,5,542,,,,,,,,,,,,,,,,,,,,,13
,,,,,8,1027,,,,,,,,,,,,,,,,,,,,,13
,,,,,6,333,,,,,,,,,,,,,,,,,,,,,13
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,,9
,,,,,3,105,,,,,,,,,,,,,,,,,,,,,6
,9,2,225,2,2,1394,,,,251.397,252.004,250.725,250.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,82
,,,,,1,708,,,,,,250.996,251.346,,,,,,,,,,,,,,75
,10,2,254,1,1,1713,,,,271.963,273.99,274.457,274.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,53
,,,,,2,421,,,,,,,,,,,,,,,,,,,,,35
26,1,8,0,1,8,403,254,random,,14.051,14.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.308,10.211,A1W8V6QS65FT1E,21
,,,,,1,219,,,,14.155,14.731,,,,,,,,,,,,,11.778,13.819,,21
,,,,,4,1225,,,,,,,,,,,,,,,,,,,,,15
,,,,,7,229,,,,,,,,,,,,,,,,,,,,,13
,,,,,6,298,,,,,,,,,,,,,,,,,,,,,12
,,,,,5,451,,,,,,,,,,,,,,,,,,,,,11
,,,,,2,203,,,,,,,,,,,,,,,,,,,,,11
,,,,,3,205,,,,,,,,,,,,,,,,,,,,,5
,2,8,25,4,4,204,,,,NA,NA,NA,NA,NA,NA,48.875,49.212,NA,NA,55.326,56.478,NA,NA,NA,NA,,19
,,,,,1,753,,,,,,,,,,49.373,49.539,,,,,,,,,,17
,,,,,8,330,,,,,,,,,,67.157,68.038,,,,,,,,,,15
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,,14
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,,6
,,,,,2,439,,,,,,,,,,,,,,,,,,,,,2
,,,,,3,1347,,,,,,,,,,,,,,,,,,,,,1
,,,,,5,919,,,,,,,,,,,,,,,,,,,,,0
,3,2,72,2,1,168,,,,NA,NA,102.334,102.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,97
,,,,,2,139,,,,,,103.637,103.654,,,,,,,,,,,,,,1
,,,,,,,,,,,,103.677,104.51,,,,,,,,,,,,,,0
,4,8,106,4,7,2010,,,,129.055,129.407,NA,NA,NA,NA,127.135,127.522,NA,NA,NA,NA,NA,NA,NA,NA,,24
,,,,,6,3146,,,,,,,,,,,,,,,,,,,,,22
,,,,,4,262,,,,,,,,,,,,,,,,,,,,,22
,,,,,2,149,,,,,,,,,,,,,,,,,,,,,12
,,,,,3,466,,,,,,,,,,,,,,,,,,,,,11
,,,,,8,131,,,,,,,,,,,,,,,,,,,,,11
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,,10
,,,,,1,1490,,,,,,,,,,,,,,,,,,,,,10
,5,2,131,1,1,177,,,,141.096,141.856,141.896,142.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,98
,,,,,2,211,,,,,,,,,,,,,,,,,,,,,17
,6,2,143,1,1,1004,,,,162.48,163.431,165.799,165.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,76
,,,,,2,312,,,,,,,,,,,,,,,,,,,,,74
,7,8,167,3,8,2848,,,,NA,NA,NA,NA,184.727,185.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,24
,,,,,7,195,,,,,,,,,,,,,,,,,,,,,23
,,,,,3,734,,,,,,,,,,,,,,,,,,,,,19
,,,,,1,739,,,,,,,,,,,,,,,,,,,,,16
,,,,,5,532,,,,,,,,,,,,,,,,,,,,,15
,,,,,2,302,,,,,,,,,,,,,,,,,,,,,11
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,,11
,,,,,6,860,,,,,,,,,,,,,,,,,,,,,6
,8,8,189,7,7,108,,,,NA,NA,208.162,208.371,NA,NA,NA,NA,NA,NA,NA,NA,205.051,205.683,NA,NA,,21
,,,,,5,542,,,,,,,,,,,,,,,,,,,,,17
,,,,,3,105,,,,,,,,,,,,,,,,,,,,,15
,,,,,4,1531,,,,,,,,,,,,,,,,,,,,,14
,,,,,1,835,,,,,,,,,,,,,,,,,,,,,11
,,,,,8,1027,,,,,,,,,,,,,,,,,,,,,6
,,,,,6,333,,,,,,,,,,,,,,,,,,,,,6
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,,4
,9,8,210,8,3,435,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.366,236.594,,21
,,,,,1,708,,,,,,,,,,,,,,,,,,238.106,238.451,,13
,,,,,7,381,,,,,,,,,,,,,,,,,,239.149,239.402,,11
,,,,,5,2005,,,,,,,,,,,,,,,,,,,,,10
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,,6
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,,4
,,,,,4,826,,,,,,,,,,,,,,,,,,,,,4
,,,,,8,1578,,,,,,,,,,,,,,,,,,,,,0
,10,8,241,1,5,179,,,,249.91,250.234,NA,NA,NA,NA,NA,NA,NA,NA,251.796,251.876,NA,NA,NA,NA,,22
,,,,,8,110,,,,,,,,,,,,,,,,,,,,,20
,,,,,3,469,,,,,,,,,,,,,,,,,,,,,13
,,,,,4,516,,,,,,,,,,,,,,,,,,,,,12
,,,,,1,1713,,,,,,,,,,,,,,,,,,,,,10
,,,,,2,421,,,,,,,,,,,,,,,,,,,,,5
,,,,,7,238,,,,,,,,,,,,,,,,,,,,,3
,,,,,6,184,,,,,,,,,,,,,,,,,,,,,2
27,1,2,0,2,1,219,405,random,,0.225,2.698,4.3,4.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1WXPOLDS1Y9R4,60
,,,,,2,203,,,,4.381,4.615,4.92,5.59,,,,,,,,,,,,,,44
,2,2,11,2,1,753,,,,21.505,21.545,17.428,18.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,76
,,,,,2,439,,,,22.166,22.204,21.779,22.133,,,,,,,,,,,,,,23
,,,,,,,,,,149.73,149.983,150.551,150.885,,,,,,,,,,,,,,0
,3,2,155,1,1,168,,,,158.82,159.102,159.276,159.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,37
,,,,,2,139,,,,159.2,159.236,,,,,,,,,,,,,,,,36
,4,2,163,2,2,149,,,,170.643,170.897,168.92,170.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,78
,,,,,1,1490,,,,,,,,,,,,,,,,,,,,,59
,5,2,181,2,1,177,,,,NA,NA,207.451,207.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,61
,,,,,2,211,,,,,,208.425,208.445,,,,,,,,,,,,,,61
,,,,,,,,,,,,208.456,208.912,,,,,,,,,,,,,,0
,6,8,213,2,3,152,,,,NA,NA,260.805,261.129,NA,NA,NA,NA,257.012,257.214,NA,NA,261.444,261.464,250.561,251.088,,18
,,,,,8,301,,,,,,,,,,,,257.224,257.244,,,,,252.326,252.345,,16
,,,,,5,30,,,,,,,,,,,,,,,,,,256.496,256.525,,13
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,,13
,,,,,2,312,,,,,,,,,,,,,,,,,,,,,10
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,,6
,,,,,4,510,,,,,,,,,,,,,,,,,,,,,6
,,,,,6,985,,,,,,,,,,,,,,,,,,,,,4
,7,2,268,2,1,739,,,,NA,NA,277.244,277.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,69
,,,,,2,302,,,,,,278.634,281.17,,,,,,,,,,,,,,18
,8,2,285,1,2,4415,,,,305.14,305.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,71
,,,,,1,835,,,,305.768,306.824,,,,,,,,,,,,,,,,66
,9,8,315,2,5,2005,,,,NA,NA,385.266,385.752,NA,NA,NA,NA,381.805,382.445,NA,NA,NA,NA,NA,NA,,25
,,,,,1,708,,,,,,385.904,386.584,,,,,382.465,383.155,,,,,,,,25
,,,,,4,826,,,,,,,,,,,,,,,,,,,,,13
,,,,,3,435,,,,,,,,,,,,,,,,,,,,,10
,,,,,6,1283,,,,,,,,,,,,,,,,,,,,,10
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,,10
,,,,,8,1578,,,,,,,,,,,,,,,,,,,,,6
,,,,,7,381,,,,,,,,,,,,,,,,,,,,,3
,10,8,393,3,8,110,,,,396.025,396.344,NA,NA,396.675,397.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,19
,,,,,5,179,,,,397.273,397.689,,,,,,,,,,,,,,,,19
,,,,,7,238,,,,,,,,,,,,,,,,,,,,,18
,,,,,1,1713,,,,,,,,,,,,,,,,,,,,,16
,,,,,3,469,,,,,,,,,,,,,,,,,,,,,15
,,,,,4,516,,,,,,,,,,,,,,,,,,,,,15
,,,,,6,184,,,,,,,,,,,,,,,,,,,,,3
,,,,,2,421,,,,,,,,,,,,,,,,,,,,,3
28,1,8,0,1,3,205,1489,random,,-3449.78,-3449.73,NA,NA,NA,NA,NA,NA,-3449.81,-3449.8,NA,NA,NA,NA,NA,NA,A1YIH5JUVIML4S,19
,,,,,8,403,,,,-3449.4,-3443.31,,,,,,,-3442.83,-3442.45,,,,,,,,18
,,,,,6,298,,,,,,,,,,,,,,,,,,,,,16
,,,,,7,229,,,,,,,,,,,,,,,,,,,,,15
,,,,,1,219,,,,,,,,,,,,,,,,,,,,,14
,,,,,5,451,,,,,,,,,,,,,,,,,,,,,8
,,,,,2,203,,,,,,,,,,,,,,,,,,,,,7
,,,,,4,1225,,,,,,,,,,,,,,,,,,,,,3
,2,8,169,2,1,753,,,,NA,NA,-3384.08,-3384.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,20
,,,,,3,1347,,,,,,-3383.33,-3382.13,,,,,,,,,,,,,,16
,,,,,2,439,,,,,,,,,,,,,,,,,,,,,10
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,,9
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,,9
,,,,,5,919,,,,,,,,,,,,,,,,,,,,,6
,,,,,8,330,,,,,,,,,,,,,,,,,,,,,5
,,,,,4,204,,,,,,,,,,,,,,,,,,,,,5
,3,8,228,3,4,171,,,,-3361.63,-3359.74,-3348.64,-3348.61,-3348.52,-3347.59,-3362.1,-3361.72,NA,NA,NA,NA,NA,NA,NA,NA,,24
,,,,,1,168,,,,,,-3340.32,-3340.03,-3346.98,-3346.53,,,,,,,,,,,,20
,,,,,5,260,,,,,,,,-3345.69,-3340.36,,,,,,,,,,,,14
,,,,,6,482,,,,,,,,,,,,,,,,,,,,,13
,,,,,3,280,,,,,,,,,,,,,,,,,,,,,10
,,,,,2,139,,,,,,,,,,,,,,,,,,,,,8
,,,,,7,492,,,,,,,,,,,,,,,,,,,,,1
,,,,,8,176,,,,,,,,,,,,,,,,,,,,,1
,4,8,277,6,5,1528,,,,NA,NA,NA,NA,NA,NA,NA,NA,-3267.8,-3267.78,-3267.08,-3266.77,NA,NA,NA,NA,,23
,,,,,6,3146,,,,,,,,,,,,,,-3266.5,-3266.46,,,,,,21
,,,,,1,1490,,,,,,,,,,,,,,-3266.42,-3266.41,,,,,,19
,,,,,8,131,,,,,,,,,,,,,,,,,,,,,16
,,,,,4,262,,,,,,,,,,,,,,,,,,,,,8
,,,,,7,2010,,,,,,,,,,,,,,,,,,,,,6
,,,,,2,149,,,,,,,,,,,,,,,,,,,,,6
,,,,,3,466,,,,,,,,,,,,,,,,,,,,,4
,5,8,344,4,4,300,,,,NA,NA,NA,NA,NA,NA,-3160.42,-3159.02,NA,NA,NA,NA,NA,NA,NA,NA,,21
,,,,,3,588,,,,,,,,,,,,,,,,,,,,,20
,,,,,1,177,,,,,,,,,,,,,,,,,,,,,16
,,,,,5,4414,,,,,,,,,,,,,,,,,,,,,14
,,,,,2,211,,,,,,,,,,,,,,,,,,,,,13
,,,,,7,426,,,,,,,,,,,,,,,,,,,,,8
,,,,,8,199,,,,,,,,,,,,,,,,,,,,,5
,,,,,6,325,,,,,,,,,,,,,,,,,,,,,2
,6,8,466,3,6,985,,,,NA,NA,NA,NA,-2816.43,-2814.09,NA,NA,NA,NA,NA,NA,NA,NA,-2816.46,-2816.45,,23
,,,,,2,312,,,,,,,,-2814.07,-2814.06,,,,,,,,,-2814.04,-2813.99,,23
,,,,,5,30,,,,,,,,,,,,,,,,,,,,,20
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,,20
,,,,,4,510,,,,,,,,,,,,,,,,,,,,,18
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,,15
,,,,,3,152,,,,,,,,,,,,,,,,,,,,,12
,,,,,8,301,,,,,,,,,,,,,,,,,,,,,11
,7,8,794,2,2,302,,,,NA,NA,-2687.19,-2686.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25
,,,,,6,860,,,,,,,,,,,,,,,,,,,,,18
,,,,,5,532,,,,,,,,,,,,,,,,,,,,,16
,,,,,7,195,,,,,,,,,,,,,,,,,,,,,15
,,,,,1,739,,,,,,,,,,,,,,,,,,,,,13
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,,12
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,,10
,,,,,3,734,,,,,,,,,,,,,,,,,,,,,5
,8,2,948,2,2,4415,,,,NA,NA,-2471.13,-2470.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,80
,,,,,1,835,,,,,,-2470.78,-2469.83,,,,,,,,,,,,,,38
,9,2,1143,2,1,708,,,,-2182.74,-2182.43,-2182.82,-2182.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,98
,,,,,2,1394,,,,,,-2182.38,-2181.97,,,,,,,,,,,,,,0
,,,,,,,,,,,,-2181.82,-2181.35,,,,,,,,,,,,,,0
,,,,,,,,,,,,-2178.57,-2177.78,,,,,,,,,,,,,,0
,10,2,1429,1,1,1713,,,,-2123.47,-2122.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90
,,,,,2,421,,,,,,,,,,,,,,,,,,,,,76
29,1,8,0,3,3,205,467,random,,NA,NA,NA,NA,45.691,45.846,NA,NA,NA,NA,NA,NA,NA,NA,45.526,45.666,A1YP0ALFCGYVJA,24
,,,,,8,403,,,,,,,,45.925,47.186,,,,,,,,,47.266,54.186,,23
,,,,,2,203,,,,,,,,,,,,,,,,,,,,,22
,,,,,7,229,,,,,,,,,,,,,,,,,,,,,22
,,,,,4,1225,,,,,,,,,,,,,,,,,,,,,17
,,,,,5,451,,,,,,,,,,,,,,,,,,,,,14
,,,,,1,219,,,,,,,,,,,,,,,,,,,,,13
,,,,,6,298,,,,,,,,,,,,,,,,,,,,,7
,2,2,54,2,2,439,,,,NA,NA,81.111,86.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,66
,,,,,1,753,,,,,,110.885,111.272,,,,,,,,,,,,,,64
,,,,,,,,,,,,111.426,113.29,,,,,,,,,,,,,,0
,3,2,113,2,1,168,,,,121.41,137.668,145.403,146.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,58
,,,,,2,139,,,,,,146.209,146.256,,,,,,,,,,,,,,22
,4,2,146,1,1,1490,,,,188.114,188.905,179.064,186.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,46
,,,,,2,149,,,,189.214,190.078,,,,,,,,,,,,,,,,20
,5,2,190,2,2,211,,,,198.332,212.191,213.226,214.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,51
,,,,,1,177,,,,213.049,213.122,214.257,214.303,,,,,,,,,,,,,,11
,,,,,,,,,,214.37,214.442,,,,,,,,,,,,,,,,0
,6,2,214,2,2,312,,,,231.301,257.727,257.779,258.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,98
,,,,,1,1004,,,,258.758,259.223,258.131,258.659,,,,,,,,,,,,,,85
,,,,,,,,,,,,258.683,258.724,,,,,,,,,,,,,,0
,7,8,259,6,7,195,,,,NA,NA,NA,NA,306.537,306.717,NA,NA,NA,NA,306.401,306.501,NA,NA,NA,NA,,22
,,,,,5,532,,,,,,,,,,,,,,307.063,312.82,,,,,,13
,,,,,3,734,,,,,,,,,,,,,,,,,,,,,11
,,,,,6,860,,,,,,,,,,,,,,,,,,,,,7
,,,,,1,739,,,,,,,,,,,,,,,,,,,,,5
,,,,,2,302,,,,,,,,,,,,,,,,,,,,,4
,,,,,8,2848,,,,,,,,,,,,,,,,,,,,,2
,,,,,4,1012,,,,,,,,,,,,,,,,,,,,,2
,8,8,313,5,1,835,,,,352.926,373.905,NA,NA,NA,NA,375.936,376.827,374.004,374.058,NA,NA,375.318,375.847,375.85,375.881,,25
,,,,,3,105,,,,,,,,,,,,374.572,375.116,,,,,,,,20
,,,,,2,4415,,,,,,,,,,,,375.124,375.261,,,,,,,,19
,,,,,5,542,,,,,,,,,,,,,,,,,,,,,17
,,,,,7,108,,,,,,,,,,,,,,,,,,,,,17
,,,,,8,1027,,,,,,,,,,,,,,,,,,,,,10
,,,,,6,333,,,,,,,,,,,,,,,,,,,,,7
,,,,,4,1531,,,,,,,,,,,,,,,,,,,,,1
,9,2,377,2,2,1394,,,,425.026,434.143,395.073,414.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,83
,,,,,1,708,,,,,,415.158,425.024,,,,,,,,,,,,,,49
,10,2,437,2,2,421,,,,456.612,463.212,450.404,456.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,74
,,,,,1,1713,,,,465.263,465.759,463.216,465.261,,,,,,,,,,,,,,33
30,1,2,0,1,2,203,552,random,,12.003,12.886,4.36,10.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A1YTT0EBX8JFWV,80
,,,,,1,219,,,,19.202,27.953,,,,,,,,,,,,,,,,56
,2,8,29,4,4,204,,,,NA,NA,NA,NA,72.95,76.867,68.053,70.901,76.868,89.95,NA,NA,NA,NA,108.427,108.442,,24
,,,,,3,1347,,,,,,,,92.658,93.209,95.196,98.215,92.033,92.658,,,,,,,,23
,,,,,5,919,,,,,,,,,,,,,,,,,,,,,23
,,,,,6,1265,,,,,,,,,,,,,,,,,,,,,20
,,,,,2,439,,,,,,,,,,,,,,,,,,,,,11
,,,,,7,1203,,,,,,,,,,,,,,,,,,,,,8
,,,,,1,753,,,,,,,,,,,,,,,,,,,,,7
,,,,,8,330,,,,,,,,,,,,,,,,,,,,,2
,3,8,110,7,1,168,,,,NA,NA,NA,NA,158.417,160.032,NA,NA,144.931,146.8,130.158,144.929,160.032,166.52,167.538,167.607,,25
,,,,,6,482,,,,,,,,,,,,,,,,,,,,,24
,,,,,5,260,,,,,,,,,,,,,,,,,,,,,21
,,,,,4,171,,,,,,,,,,,,,,,,,,,,,12
,,,,,3,280,,,,,,,,,,,,,,,,,,,,,11
,,,,,7,492,,,,,,,,,,,,,,,,,,,,,10
,,,,,2,139,,,,,,,,,,,,,,,,,,,,,8
,,,,,8,176,,,,,,,,,,,,,,,,,,,,,0
,4,8,169,8,2,149,,,,247.842,248.143,NA,NA,212.012,216.641,NA,NA,NA,NA,232.041,234.492,NA,NA,234.593,234.708,,23
,,,,,3,466,,,,,,,,,,,,,,,,,,235.266,239.81,,22
,,,,,8,131,,,,,,,,,,,,,,,,,,,,,17
,,,,,6,3146,,,,,,,,,,,,,,,,,,,,,16
,,,,,7,2010,,,,,,,,,,,,,,,,,,,,,16
,,,,,5,1528,,,,,,,,,,,,,,,,,,,,,9
,,,,,4,262,,,,,,,,,,,,,,,,,,,,,4
,,,,,1,1490,,,,,,,,,,,,,,,,,,,,,2
,5,8,250,3,1,177,,,,259.443,261.358,302.812,303.022,274.387,285.14,NA,NA,312.247,312.301,265.945,273.587,299.447,302.812,NA,NA,,17
,,,,,6,325,,,,,,,,303.055,305.284,,,,,,,,,,,,17
,,,,,3,588,,,,,,,,,,,,,,,,,,,,,15
,,,,,2,211,,,,,,,,,,,,,,,,,,,,,13
,,,,,7,426,,,,,,,,,,,,,,,,,,,,,10
,,,,,4,300,,,,,,,,,,,,,,,,,,,,,8
,,,,,8,199,,,,,,,,,,,,,,,,,,,,,2
,,,,,5,4414,,,,,,,,,,,,,,,,,,,,,0
,6,8,315,5,7,1192,,,,357.102,357.591,347.033,347.086,357.592,358.07,358.07,358.786,347.122,347.134,356.536,357.102,329.687,344.454,349.662,350.304,,24
,,,,,5,30,,,,,,,,,,,,348.073,348.088,,,,,,,,24
,,,,,2,312,,,,,,,,,,,,348.389,349.662,,,,,,,,18
,,,,,8,301,,,,,,,,,,,,350.304,350.6,,,,,,,,17
,,,,,6,985,,,,,,,,,,,,352.65,355.99,,,,,,,,10
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,,10
,,,,,3,152,,,,,,,,,,,,,,,,,,,,,3
,,,,,4,510,,,,,,,,,,,,,,,,,,,,,1
,7,2,361,1,1,739,,,,401.004,406.206,406.207,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,98
,,,,,2,302,,,,,,,,,,,,,,,,,,,,,97
,8,2,412,1,1,835,,,,425.181,430.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,52
,,,,,2,4415,,,,,,,,,,,,,,,,,,,,,20
,9,8,441,7,8,1578,,,,NA,NA,NA,NA,500.667,500.765,NA,NA,491.808,494.123,483.102,486.198,486.199,491.808,453.387,481.352,,19
,,,,,6,1283,,,,,,,,505.586,505.738,,,,,,,494.198,497.051,,,,17
,,,,,7,381,,,,,,,,506.177,513.264,,,,,,,,,,,,13
,,,,,5,2005,,,,,,,,,,,,,,,,,,,,,12
,,,,,1,708,,,,,,,,,,,,,,,,,,,,,11
,,,,,2,1394,,,,,,,,,,,,,,,,,,,,,7
,,,,,4,826,,,,,,,,,,,,,,,,,,,,,4
,,,,,3,435,,,,,,,,,,,,,,,,,,,,,0
,10,2,515,1,1,1713,,,,528.837,531.806,531.807,534.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,84
,,,,,2,421,,,,538.409,540.062,535.607,536.631,,,,,,,,,,,,,,59
,,,,,,,,,,540.626,544.519,549.3,549.3,,,,,,,,,,,,,,0
,,,,,,,,,,545.039,545.239,,,,,,,,,,,,,,,,0
,,,,,,,,,,545.384,545.471,,,,,,,,,,,,,,,,0
,,,,,,,,,,545.555,547.017,,,,,,,,,,,,,,,,0
31,1,8,0,4,2,203,529,random,,43.811,44.343,16.241,23.435,42.495,43.211,24.451,38.397,46.196,46.727,NA,NA,NA,NA,43.211,43.81,A1ZCZF8AX7QWF0,24
,,,,,4,1225,,,,,,47.859,48.558,,,49.192,49.696,,,,,,,45.86,46.182,,19
,,,,,5,451,,,,,,,,,,50.015,51.311,,,,,,,,,,16
,,,,,3,205,,,,,,,,,,,,,,,,,,,,,11
,,,,,7,229,,,,,,,,,,,,,,,,,,,,,7
,,,,,8,403,,,,,,,,,,,,,,,,,,,,,4
,,,,,1,219,,,,,,,,,,,,,,,,,,,,,4
,,,,,6,298,,,,,,,,,,,,,,,,,,,,,2
,2,2,60,1,2,439,,,,101.324,113.904,95.21,100.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,45
,,,,,1,753,,,,116.381,118.507,113.904,115.586,,,,,,,,,,,,,,42
,3,2,125,2,2,139,,,,144.019,144.317,135.694,143.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,75
,,,,,1,168,,,,,,,,,,,,,,,,,,,,,60
,4,2,151,1,1,1490,,,,178.182,211.537,211.537,212.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,97
,,,,,2,149,,,,214.709,215.893,213.063,213.128,,,,,,,,,,,,,,8
,,,,,,,,,,,,215.893,215.99,,,,,,,,,,,,,,0
,5,2,222,1,2,211,,,,239.405,243.44,235.226,238.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,81
,,,,,1,177,,,,,,,,,,,,,,,,,,,,,15
,6,8,252,5,5,30,,,,322.06,322.152,264.586,266.919,NA,NA,270.884,272.766,316.377,316.41,288.427,298.474,305.539,313.287,298.474,304.573,,25
,,,,,2,312,,,,,,273.499,273.787,,,276.531,286.295,317.001,317.679,314.136,314.836,,,313.287,314.136,,24
,,,,,4,510,,,,,,275.366,275.649,,,315.755,316.329,,,,,,,,,,22
,,,,,3,152,,,,,,,,,,,,,,,,,,,,,16
,,,,,6,985,,,,,,,,,,,,,,,,,,,,,14
,,,,,8,301,,,,,,,,,,,,,,,,,,,,,12
,,,,,7,1192,,,,,,,,,,,,,,,,,,,,,5
,,,,,1,1004,,,,,,,,,,,,,,,,,,,,,4
,7,2,328,1,2,302,,,,351.374,358.924,345.277,346.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,90
,,,,,1,739,,,,359.312,359.672,348.223,350.308,,,,,,,,,,,,,,41
,,,,,,,,,,359.759,359.775,,,,,,,,,,,,,,,,0
,,,,,,,,,,359.839,360.736,,,,,,,,,,,,,,,,0
,8,8,367,2,4,1531,,,,414.519,414.962,410.233,411.06,NA,NA,379.53,380.061,NA,NA,NA,NA,NA,NA,413.835,414.519,,18
,,,,,2,4415,,,,,,411.321,411.782,,,383.735,384.492,,,,,,,414.962,415.5,,16
